"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03123";"PACARAIMA";"03123";"PACARAIMA";"7";"11";"Prefeito";"230000001678";"55";"ANTONIA FERREIRA DE SOUSA";"PROFESSORA ANTONIA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"55";"PSD";"Partido Social Democrático";"230000000167";"PACARAIMA PARA TODOS";"PSC / PMDB / PSDC / PEN / SD / PSD";"4";"NÃO ELEITO";"N";"756"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03123";"PACARAIMA";"03123";"PACARAIMA";"7";"13";"Vereador";"230000001600";"45111";"ELINETE MENDES DA SILVA ALVES";"ELINETE MENDES";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"230000000161";"TODOS POR UMA NOVA PACARAIMA";"PSDB / PTN";"4";"NÃO ELEITO";"N";"13"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03123";"PACARAIMA";"03123";"PACARAIMA";"7";"13";"Vereador";"230000001673";"51000";"JANARY DOS SANTOS OLIVEIRA";"JANARY OLIVEIRA";"#NULO#";"12";"APTO";"4";"INDEFERIDO COM RECURSO";"Coligação";"51";"PEN";"Partido Ecológico Nacional";"230000000167";"PACARAIMA PARA TODOS";"PSC / PMDB / PSDC / PEN / SD / PSD";"4";"NÃO ELEITO";"N";"0"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03123";"PACARAIMA";"03123";"PACARAIMA";"7";"13";"Vereador";"230000001223";"11000";"JOAO KLEBER SOARES BORGES";"KLEBER SOM";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"11";"PP";"Partido Progressista";"230000000127";"UNIDOS PARA RECONSTRUIR";"PP / PMN / PTB";"5";"SUPLENTE";"N";"127"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03123";"PACARAIMA";"03123";"PACARAIMA";"7";"13";"Vereador";"230000001228";"33123";"AQUILES AMBROSIO FRANCO";"AQUILIS";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"33";"PMN";"Partido da Mobilização Nacional";"230000000127";"UNIDOS PARA RECONSTRUIR";"PP / PMN / PTB";"5";"SUPLENTE";"N";"10"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03123";"PACARAIMA";"03123";"PACARAIMA";"7";"13";"Vereador";"230000001225";"11555";"LUIZA JULIANA DA SILVA TAVORA";"JULIANA TAVORA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"11";"PP";"Partido Progressista";"230000000127";"UNIDOS PARA RECONSTRUIR";"PP / PMN / PTB";"5";"SUPLENTE";"N";"19"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03123";"PACARAIMA";"03123";"PACARAIMA";"7";"13";"Vereador";"230000001196";"17123";"FRANCO ALBERTSON RIBEIRO MARTINS";"FRANCO MARTINS";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"17";"PSL";"Partido Social Liberal";"230000000125";"PACARAIMA DE MÃOS DADAS PARA RENOVAR";"PSL / PHS / PRP / PMB";"5";"SUPLENTE";"N";"176"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03123";"PACARAIMA";"03123";"PACARAIMA";"7";"13";"Vereador";"230000001665";"20777";"AMARILDO TEIXEIRA LOPES";"AMARILDO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"20";"PSC";"Partido Social Cristão";"230000000167";"PACARAIMA PARA TODOS";"PSC / PMDB / PSDC / PEN / SD / PSD";"5";"SUPLENTE";"N";"77"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03123";"PACARAIMA";"03123";"PACARAIMA";"7";"13";"Vereador";"230000001599";"45123";"MIRACELIO FLORIANO PEIXOTO";"TUXAUA MIRACELIO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"230000000161";"TODOS POR UMA NOVA PACARAIMA";"PSDB / PTN";"4";"NÃO ELEITO";"N";"16"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03123";"PACARAIMA";"03123";"PACARAIMA";"7";"13";"Vereador";"230000000963";"10000";"ODILANEI DA SILVA DOS SANTOS";"DILA SANTOS";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"10";"PRB";"Partido Republicano Brasileiro";"230000000089";"UNIDOS POR PACARAIMA";"PRB / PR";"3";"ELEITO POR MÉDIA";"N";"233"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03158";"SÃO LUIZ";"03158";"SÃO LUIZ";"4";"13";"Vereador";"230000001297";"17777";"BENILSON FREITAS MOREIRA";"BENILSON";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"17";"PSL";"Partido Social Liberal";"230000000133";"JUNTOS VENCEREMOS";"PRB / PSL / PSC / PR / PSDB";"2";"ELEITO POR QP";"N";"204"
"18/10/2020";"00:09:07";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"RR";"03050";"ALTO ALEGRE";"03050";"ALTO ALEGRE";"3";"13";"Vereador";"230000001915";"40123";"VALDENIR SOARES ALVES";"MAGRAO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"40";"PSB";"Partido Socialista Brasileiro";"230000000194";"JUNTOS SOMOS MAIS FORTE";"PEN / PHS / PSC / PSB";"5";"SUPLENTE";"N";"397"
