SQ_CANDIDATO;NM_MUNICIPIO;CD_MUNICIPIO;NR_ZONA;DS_SIT_TOT_TURNO;NM_CANDIDATO;SG_PARTIDO;QT_VOTOS_NOMINAIS
230000002144;BOA VISTA;03018;5;SUPLENTE;SANDRA CRISTINA ROZA DE ARAUJO;PTN;18
230000002163;BOA VISTA;03018;5;SUPLENTE;HENRIQUE ALVES DE MELO;PEN;140
230000002064;BOA VISTA;03018;5;SUPLENTE;ANTÔNIO ADBERTO RESENDE VERAS;PSDC;864
230000002074;BOA VISTA;03018;5;SUPLENTE;JOSE COELHO DE SOUZA NETO;SD;513
230000002081;BOA VISTA;03018;5;SUPLENTE;RAIMUNDO CLEBSON PEREIRA DO NASCIMENTO;PSL;198
230000001778;BOA VISTA;03018;5;SUPLENTE;SUELI MORAES DA SILVA CARDOZO;PDT;1095
230000002340;BOA VISTA;03018;1;SUPLENTE;ELI NASCIMENTO DOS SANTOS;PPS;2
230000002342;BOA VISTA;03018;5;SUPLENTE;EMERSON DOS SANTOS ALMEIDA;PPS;85
230000002965;BOA VISTA;03018;1;NÃO ELEITO;CRISTIANE MARIA CARDOSO;PRP;0
230000002428;BOA VISTA;03018;5;NÃO ELEITO;WESLY MONTELES DE SOUSA;PRP;0
230000001731;BOA VISTA;03018;5;SUPLENTE;WAN KENOBBY CHA COSTA;PTC;739
230000001724;BOA VISTA;03018;5;SUPLENTE;CLEYMERSON PATRICIO BRITO;PTC;112
230000001738;BOA VISTA;03018;1;SUPLENTE;OSIAS VIANA DE SOUSA;PTC;13
230000001737;BOA VISTA;03018;5;SUPLENTE;SALOMÃO CONCEIÇÃO DE AMORIM;PTC;269
230000001755;BOA VISTA;03018;1;SUPLENTE;REGINALDO DE SOUSA GÓS;PTC;19
230000001744;BOA VISTA;03018;1;SUPLENTE;ILDIMAR DE JESUS SILVA;PTC;61
230000001728;BOA VISTA;03018;1;SUPLENTE;GIDEONE DA SILVA LIMA;PTC;162
230000002788;BOA VISTA;03018;5;SUPLENTE;SANDRA REGINA CAETANO BATISTA;PC do B;138
230000002587;BOA VISTA;03018;5;SUPLENTE;ALEXANDRE MOTA MONTEIRO;PC do B;410
